,AAI,AEX,AF,AGN,AH,AHA,AI,AKZ,AL1,ASL,ASM,ATO,AVH,BAM,BAR,BB,BEK,BN,BNP,BOS,BXF,CA,CAP,CDI,CNP,CO,COL,CS,CSM,DEL,DG,DSM,DSY,EAD,EF,EN,EO,EX,FCE,FG,FP,FR,FTE,FUR,GBL,GLE,HEI,HEY,HO,IE,IHC,ING,KBC,KER,KPN,MC,ML,MMB,MMT,MOB,OR,ORD,PHI,PNL,PUB,RD,REN,RF,RI,RND,RNO,SAN,SGO,SOL,STM,SU,SW,TEC,TF1,TMS,UCB,UG,UL,UMC,UN,VIE,VK,VPK,WHV,WKL
PB50,0.0,-1055704.9,0.0,0.0,0.0,0.0,29754.64,31257.24,0.0,911.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69019.0,67755.0,0.0,0.0,-19500.0,12248.9,9997.5,0.0,8504.0,0.0,188753.0,0.0,0.0,8194.0,6745.5,0.0,-3130.25,11188.0,143660.0,0.0,-84434.5,327952.6,0.0,223241.0,0.0,231430.0,-1066.14,0.0,19720.0,12084.5,0.0,0.0,0.0,0.0,52469.8,-1512.0,3917.4,853862.0,25669.5,-5121.8,0.0,0.0,0.0,4095.0,0.0,87853.0,0.0,-6780.0,43388.25,53892.3,0.0,-12252.0,-7377.2,-1968.0,-9892.55,-14960.0,0.0,0.0,25674.0,0.0,0.0,0.0,0.0,-5442.0,1240.0,26672.5,103818.0,275493.35,0.0,0.0,0.0,0.0,0.0
PB51,0.0,0.0,-702370.0,0.0,0.0,0.0,0.0,0.0,0.0,-17362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100767.5,236345.5,0.0,0.0,113049.0,-4987.5,0.0,0.0,0.0,0.0,207313.0,0.0,0.0,-1798.35,0.0,0.0,4725.0,0.0,99775.0,0.0,15470.0,4729.3,0.0,-112798.5,0.0,234460.0,0.0,0.0,421018.75,0.0,0.0,0.0,0.0,0.0,777750.0,-12198.0,26309.75,0.0,17318.0,42010.0,0.0,0.0,0.0,510.0,0.0,40350.0,0.0,0.0,369012.5,0.0,0.0,0.0,0.0,-19945.0,-55319.0,209965.0,0.0,0.0,0.0,0.0,21627.0,0.0,0.0,0.0,0.0,0.0,0.0,7289.9,-11445.0,0.0,0.0,0.0,0.0
PB52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB53,0.0,0.0,0.0,0.0,0.0,0.0,97835.8478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121029.75,-291619.98,0.0,0.0,-526440.5,31417.43,0.0,0.0,-67066.32,0.0,717862.52,0.0,0.0,-100704.69,0.0,0.0,47645.12,-36461.89,203379.82,0.0,0.0,-1710.478,0.0,-116552.62,0.0,418111.22,0.0,0.0,215622.0,0.0,0.0,61542.39,0.0,0.0,0.0,0.0,10065.66,0.0,-112064.56,77723.09,0.0,0.0,0.0,-102286.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33059.71,0.0,-5337.35,-9086.69,-461519.35,63.98,-184122.19,-80875.04,0.0,10081.04,0.0,0.0,0.0,-492894.72,0.0,0.0,0.0,269739.1,-88528.2594,0.0,0.0,0.0
PB54,0.0,0.0,-853829.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB55,0.0,0.0,1643.1,0.0,0.0,3643.6,379.7209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,879.15,0.0,0.0,-362.88,49552.7,0.0,0.0,1099.09,0.0,121285.55,0.0,0.0,-30.09,0.0,0.0,27773.5,134.62,1363.5,39913.6,508.04,-27.92,0.0,178965.33,24100.65,62236.35,0.0,0.0,792.2,0.0,0.0,44.73,0.0,0.0,0.0,0.0,3055.65,0.0,36909.59,-435.88,0.0,0.0,0.0,-3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96,0.0,1562.22,775.6,16571.57,0.0,348875.1,1149.06,0.0,0.0,0.0,0.0,0.0,237842.25,0.0,0.0,0.0,210643.68,0.0,0.0,0.0,0.0
PB56,0.0,105879.93,1248483.07,-298823.13,-68817.21,15068.28,-11539.7076,11951.94,0.0,-113844.2074,16439.43,24054.01,54.82,0.0,-805.93,0.0,-5563.48,-32232.4,-19586.03,-11.1,100.0,409107.105,207153.92,-60.65,-570.2,-19394.72,-1384.03,95348.0,0.0,-1403.1675,41911.368,-31956.8,134.02,335791.367,-14384.16,593893.43,6883.8,638819.86,-484776.581,3269.6,-443062.465,0.0,-474681.33,3152.05,-10775.17,308215.73,-105804.74,901.0,-15235.92,0.0,-1103.99,-1018567.32,-928.41,-33054.2,-1572952.2783,-89283.263,10430.02,0.0,34064.0,-944.2,-34165.4,0.0,226397.15,-7261.78,-6285.0,87483.55,0.0,0.0,15557.55,59201.7,-63030.968,-203865.745,151149.89,2214.67,-556349.49,-28411.786,0.0,5710.314,1883.78,0.0,419.31,481966.75,19027.43,14176.26,-452374.31,-151872.55,-59275.3082,-302.05,0.0,11790.0
PB57,0.0,467193.96,0.0,142046.06,13975.3,277.6,1851.0748,-4088.59,0.0,1033.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53496.9,3939.48,4376.5,0.0,4630.27,0.0,0.0,0.0,0.0,0.0,11276.46,0.0,0.0,0.0,-7348.93,0.0,1271.55,0.0,761.34,0.0,3358.68,45369.101,0.0,11366.78,0.0,71155.45,0.0,0.0,4260.0,0.0,3436.0,0.0,0.0,39534.12,8040.38,0.0,0.0,0.0,744.92,-462.56,0.0,0.0,0.0,34.38,0.0,-951.52,18034.85,0.0,202670.93,0.0,0.0,1620.7,1277.52,-39.13,1047.3,-517.84,406.0,0.0,951.32,0.0,0.0,0.0,0.0,0.0,-725.79,0.0,0.0,-3238.77,-7046.0,16175.43,0.0,0.0,0.0
PB58,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB59,0.0,658400.0,0.0,19256.0,-4643.98,0.0,-8509.86,36994.5,0.0,-9170.5,0.0,0.0,0.0,0.0,0.0,0.0,-29317.0,93484.0,-29570.6,0.0,240.0,29790.0,-77294.84,-9997.5,0.0,14821.0,0.0,66550.2,0.0,0.0,-73263.0,-16009.72,0.0,14794.5,-7024.0,7760.0,0.0,174384.0,319739.304,0.0,153983.9,0.0,-380.0,-56550.0,0.0,-82655.0,4903.7,0.0,0.0,0.0,0.0,-535530.03,-65796.09,0.0,35106.0,-42276.77,-9778.52,0.0,0.0,0.0,-10288.12,0.0,749522.2,-345674.79,0.0,220938.54,-69454.0,0.0,-17011.0,1529.48,25062.0,-6009.7,35645.0,0.0,487600.0,-17712.0,0.0,0.0,0.0,0.0,-41646.0,-409428.04,-6540.0,-33888.0,12211.44,0.0,0.0,0.0,0.0,0.0
PB60,3081.87,-7310.21,-2062955.82,-861909.67,-25266.28,17796.47,-18129.4574,-41672.83,0.0,3237.44,-20563.34,0.0,0.0,-71278.73,0.0,0.0,4864.15,47963.44,5957.315,-28491.23,0.0,-70272.45,-5749.844,0.0,0.0,0.0,-9029.86,332097.156,-2522.2298,87.3725,-7577.619,29292.5,0.0,82725.933,-210.98,-7693.68,0.0,13868.5,1745.771,0.0,23328.774,0.0,-10332.465,-76128.91,6236.26,-88508.827,-18466.14,-5733.78,0.0,0.0,-110739.94,-70750.94,11354.37,3504.711,144441.9417,-12075.891,24465.08,0.0,0.0,-52.0,19703.37,-21349.85,201327.79,-105465.55,-864.0,-187660.47,-15138.7262,0.0,4011.252,-140062.45,5214.703,118828.581,-36170.032,4497.16,323.3,-52463.684,0.0,1191.38,0.0,0.0,647.08,2405.29,-4913.49,-6968.89,79390.73,19195.493,-175990.4874,-11106.59,-807.35,-8636.25
PB61,0.0,-46212.0,2450.0,0.0,0.0,67525.0,0.0,0.0,0.0,6842.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6600.0,-257250.8,0.0,0.0,63400.0,-185000.7,0.0,0.0,0.0,0.0,-49569.6,0.0,0.0,10875.0,37700.0,0.0,-376362.14,0.0,0.0,0.0,-1135446.43,30870.7,0.0,-430895.45,-8197.5,-117900.0,0.0,0.0,-256927.5,0.0,0.0,0.0,0.0,0.0,-15195.0,0.0,30570.15,-669276.964,24314.53,-30260.13,0.0,0.0,0.0,0.0,0.0,12625.0,0.0,8311.9,-579670.6,0.0,0.0,10085.0,-2478.78,-91847.3,-50441.23,0.0,0.0,466156.3,37444.02,0.0,0.0,0.0,0.0,0.0,-595805.94,0.0,0.0,-99399.07,-635.1,0.0,0.0,0.0,0.0
PB62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB63,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB64,0.0,0.0,0.0,0.0,0.0,0.0,48332.6882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52901.83,333333.64,0.0,0.0,3793.24,0.0,0.0,0.0,0.0,0.0,-805957.27,0.0,0.0,56974.65,0.0,0.0,-1938.88,0.0,0.0,0.0,278081.8,-1863.449,0.0,-69126.68,0.0,366250.26,0.0,0.0,-309252.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5649.12,0.0,0.0,0.0,0.0,8917.41,0.0,0.0,0.0,0.0,48120.0,0.0,0.0,0.0,0.0,0.0,103805.82,87987.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4383.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB65,13180.34,737022.733,-620898.52,-7027073.29,-353600.57,-45690.57,14027.9923,8132.36,0.0,-117251.6809,-127525.2,-6140.57,7761.36,-2272035.74,6458.48,-33.2928,-19261.1,186586.78,261906.8,-166692.5,-29.031,-543170.59,-64044.53,-3815.48,24767.0,-6242.82,12746.85,162695.108,37961.1906,-43661.665,-29916.6,-333891.52,3091.35,133842.53,41924.13,7566.33,-5369.57,-342239.63,-2442.043,-3269.6,63889.73,7596.63,-275547.85,-334224.98,-14671.93,93783.51,-2538.36,-226044.57,-2952.92,3618.0,-364628.66,-6031959.15,26900.26,-53354.89,-3924976.8401,28612.51,37726.23,-2049.84,6789.65,3818.38,33416.28,72685.08,-354051.63,-1909220.71,14732.39,2675823.4,87150.174,9523.43,-21205.86,-311540.45,20779.291,-65287.927,6619.68,-19826.55,-19390.17,82823.21,2879.14,-4652.99,-19464.136,-451.7,-15339.25,-36275.8,18874.54,690.09,1055292.12,-7701.33,-723962.0152,23387.33,-113376.96,111519.25
PB66,7636.95,85737.845,48048.3,1312913.8,41323.49,81.85,-61.0893,63097.69,0.0,70241.28,13490.66,0.0,-30.17,624760.97,0.0,0.0,-236.34,647.39,194.07,6645.68,0.0,2011.37,44.87,0.0,-1835.1,-70.06,148.95,1287.46,472.8184,338.6475,-161.67,41992.7,0.0,1928.51,1.91,-336.48,0.0,23.55,183.983,0.0,1378.07,0.0,1159.94,32635.27,-30.22,24.15,14744.6,22239.47,0.0,0.0,82824.42,1128818.45,1569.65,0.0,509083.2637,-95.3,24.25,0.0,0.0,-23.04,1.93,11219.7,53681.2,179600.91,-299.3,688850.45,20743.2676,0.0,0.0,82380.04,552.17,482.77,0.02,269.72,-1212.76,111.92,0.0,0.0,353.787,0.0,0.0,-1568.55,2450.46,-285.04,19424.77,1055.1,393.2706,5098.94,1116.53,-3935.97
PB67,0.0,1172.5,0.0,5000.0,0.0,0.0,387.28,-158.8,0.0,-223.55,3476.89,0.0,0.0,5039.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2036.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,-20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143271.6,0.0,0.0,-4511.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-339.1,-2248.0,0.0,5543.6,0.0,0.0,0.0,127.4,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.1,0.0,0.0,0.0,3919.6,0.0
PB68,0.0,-6173.78,0.0,0.0,0.0,-6840.0,0.0,0.0,0.0,-44995.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28558.88,44602.5,0.0,0.0,113103.8,0.0,0.0,0.0,0.0,0.0,120275.0,0.0,0.0,62104.0,29960.0,0.0,168764.9,0.0,-43900.0,0.0,0.0,-6672.25,0.0,72618.59,0.0,9485.0,0.0,0.0,35284.0,15198.0,0.0,0.0,0.0,0.0,74000.0,0.0,-6657.0,0.0,-9784.08,18250.7,0.0,0.0,0.0,-5551.8,0.0,48356.0,0.0,0.0,7228.0,0.0,0.0,0.0,0.0,-22589.0,43182.5,31700.0,0.0,0.0,10863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11120.0,22120.0,0.0,0.0,0.0,0.0
PB69,0.0,0.0,-20047.0,0.0,0.0,0.0,7.3336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4686.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1535.2,5037.51,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB70,0.0,194800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB71,0.0,0.0,0.0,0.0,0.0,0.0,577.6755,83.2,0.0,0.0,0.0,-302.2,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3548.65,0.0,0.0,0.0,0.0,0.0,793.0,511.4,0.0,0.0,0.0,0.0,0.0,-469.5,0.0,-87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.15,542.997,1631.28,-552.24,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,434734.7,0.0,0.0,-162.8,0.0,0.0,2631.84,-1134.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.1,0.0,0.0,0.0,0.0,0.0
PB72,0.0,0.0,0.0,-67974.3,-11961.4,0.0,-466.0956,-8553.74,0.0,12265.0636,0.0,0.0,0.0,0.0,0.0,0.0,-1597.09,-333.89,-9128.0,0.0,0.0,-2796.18,0.0,0.0,0.0,0.0,0.0,-25497.62,0.0,-165.3,-264.04,34553.94,0.0,-4838.52,-280.16,0.0,0.0,-635.44,-50.0,0.0,-6392.97,0.0,-16318.5,0.0,0.0,-13260.56,19906.82,0.0,0.0,0.0,0.0,134456.49,29202.8,0.0,-8.032,-53.32,0.0,0.0,0.0,0.0,-128.25,0.0,127025.56,0.0,0.0,-239270.77,0.0,0.0,0.0,0.0,0.0,-4282.64,-637.56,-1421.98,0.0,-298.29,0.0,0.0,0.0,0.0,-120.9,0.0,0.0,0.0,115980.5,0.0,0.0,0.0,0.0,0.0
PB73,0.0,-374767.0,0.0,10320.0,26795.0,132554.0,149534.37,63429.0,0.0,7381.31,-1523.8,21399.5,0.0,0.0,0.0,0.0,29317.0,148226.5,485869.5,81133.56,0.0,26980.0,57461.5,0.0,0.0,1021.36,0.0,2031469.0,0.0,0.0,64654.5,-63059.86,36651.08,131006.5,26997.5,51072.5,23592.0,0.0,32389.868,0.0,401506.7,27428.4,748524.95,44072.12,17980.0,303436.5,-10410.0,0.0,-19529.2,0.0,4680.15,706124.95,26173.0,50553.9,902034.44,41233.0,17596.0,0.0,0.0,0.0,76579.0,0.0,-4085.0,0.0,-16506.0,1520397.42,91753.2,0.0,21456.0,-2335.78,12114.5,142574.0,85353.5,31853.6,-149426.75,89341.36,4725.3,77526.0,18556.4,0.0,0.0,152847.0,650.0,0.0,202326.5,-67717.1,0.0,15644.5,23806.83,101624.3
PB74,0.0,-50397.5,129700.0,0.0,0.0,0.0,0.0,-41460.0,0.0,91793.5,0.0,936.0,0.0,0.0,0.0,0.0,0.0,38221.5,-166915.5,0.0,0.0,360860.0,20255.15,0.0,0.0,12220.0,0.0,-1131483.89,0.0,0.0,0.0,88502.0,0.0,138705.3,11487.5,-669621.0,0.0,-67154.0,-69099.712,0.0,87294.0,0.0,41130.0,0.0,0.0,-251904.0,0.0,0.0,0.0,0.0,0.0,223482.35,0.0,-10169.75,0.0,-6281.0,-30353.71,0.0,0.0,0.0,22142.3,0.0,86005.0,0.0,0.0,-245259.0,0.0,0.0,-1170.0,0.0,24037.5,60474.45,-37566.93,684.0,0.0,108.0,0.0,-9012.0,0.0,0.0,47088.0,-13405.0,0.0,-25796.38,-74561.0,17352.5,0.0,0.0,0.0,0.0
